ID,Date,Location,Police District,Police Station,Police,News,Commission on Human Rights,Police Reports Submitted to the House of Representatives,Task Force Detainees of the Philippines,Philippine Human Rights Information Center,RiseUp for Life and Rights,CCT-DRK Research,Parishes,Assailant
379,Jul-2016,Manila,MPD,PS-3 ,1,1,0.0,,,,,0.0,,Unidentified
380,Jul-2016,Manila,MPD,PS-3 ,1,1,0.0,,,,,0.0,,Unidentified
381,Jul-2016,Manila,MPD,PS-1 ,1,1,0.0,,,,,1.0,0.0,Unidentified
382,Jul-2016,Manila,MPD,PS-3 ,0,1,0.0,,,,,1.0,0.0,Unidentified
383,Jul-2016,Manila,MPD,PS-1 ,1,1,0.0,,,,,0.0,0.0,Unidentified
384,Jul-2016,Manila,MPD,PS-3 ,1,1,0.0,,0.0,,,0.0,0.0,Unidentified
385,Jul-2016,Manila,MPD,PS-9 ,1,1,0.0,,0.0,,,0.0,0.0,Unidentified
386,Jul-2016,Manila,MPD,PS-5 ,1,1,0.0,,0.0,,,0.0,0.0,Unidentified
387,Jul-2016,Manila,MPD,PS-6 ,1,1,0.0,,0.0,,,0.0,0.0,Unidentified
388,Jul-2016,Manila,MPD,PS-1 ,1,1,0.0,,1.0,,,0.0,0.0,Unidentified
389,Jul-2016,Manila,MPD,PS-1 ,0,1,0.0,,0.0,,,0.0,0.0,Unidentified
390,Jul-2016,Manila,MPD,PS-1 ,0,1,0.0,,0.0,,,0.0,0.0,Unidentified
391,Jul-2016,Manila,MPD,PS-10 ,1,1,0.0,,0.0,,,1.0,0.0,Unidentified
392,Jul-2016,Manila,MPD,PS-9 ,1,1,0.0,,0.0,,,0.0,0.0,Unidentified
393,Jul-2016,Manila,MPD,PS-1 ,1,1,0.0,,0.0,,,0.0,0.0,Unidentified
394,Jul-2016,Manila,MPD,PS-11 ,0,1,0.0,,0.0,,,0.0,0.0,Unidentified
395,Jul-2016,Manila,MPD,PS-4 ,1,1,0.0,,0.0,,,0.0,0.0,Unidentified
396,Jul-2016,Manila,MPD,PS-4 ,1,1,0.0,,0.0,,,0.0,0.0,Unidentified
397,Jul-2016,Manila,MPD,PS-5 ,1,1,0.0,,0.0,,,1.0,0.0,Unidentified
398,Jul-2016,Manila,MPD,PS-5 ,1,1,0.0,,0.0,,,1.0,0.0,Unidentified
399,Jul-2016,Manila,MPD,PS-1 ,1,1,0.0,,0.0,,,1.0,0.0,Unidentified
400,Jul-2016,Manila,MPD,PS-5 ,1,1,0.0,,0.0,,,1.0,0.0,Unidentified
401,Jul-2016,Manila,MPD,PS-10 ,0,1,0.0,,0.0,,,0.0,0.0,Unidentified
402,Jul-2016,Manila,MPD,PS-3 ,1,1,0.0,,0.0,,,1.0,0.0,Unidentified
403,Jul-2016,Manila,MPD,PS-3 ,1,1,0.0,,0.0,,,1.0,0.0,Unidentified
404,Jul-2016,Manila,MPD,PS-5 ,1,1,0.0,,0.0,,,0.0,0.0,Unidentified
405,Jul-2016,Manila,MPD,PS-8 ,1,1,0.0,,0.0,,,0.0,0.0,Unidentified
408,Aug-2016,Manila,MPD,PS-10 ,1,1,0.0,,1.0,,,0.0,0.0,Unidentified
409,Aug-2016,Manila,MPD,PS-1 ,1,1,0.0,,0.0,,,1.0,0.0,Unidentified
410,Aug-2016,Manila,MPD,PS-5 ,1,1,0.0,,0.0,,,0.0,0.0,Unidentified
411,Aug-2016,Manila,MPD,PS-1 ,0,1,0.0,,0.0,,,1.0,0.0,Unidentified
412,Sep-2016,Manila,MPD,PS-5 ,1,1,0.0,,0.0,,,1.0,0.0,Unidentified
