ID,Date,Location,Police District,Police Station,Police,News,Commission on Human Rights,Philippine Human Rights Information Center,Task for Detainees of the Philippines ,RiseUp for Life and Rights,Parishes,CCT-DRK Research,Barangay Holy Spirit Public Safety Office,Assailant
17,Sep-2016,Quezon City,QCPD,PS 06 Batasan,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unidentified
18,Sep-2016,Quezon City,QCPD,PS 06 Batasan,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unidentified
21,Sep-2016,Quezon City,QCPD,PS 06 Batasan,1,1,0.0,0.0,0.0,0.0,1.0,1.0,1.0,Unidentified
26,Oct-2016,Quezon City,QCPD,PS 04 Novaliches,1,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Unidentified
230,Jul-2016,Quezon City,QCPD,PS 12 Libis,1,0,,,,,,0.0,,Unidentified
231,Jul-2016,Quezon City,QCPD,PS 12 Libis,1,0,,,,,,0.0,,Unidentified
232,Jul-2016,Quezon City,QCPD,PS 03 Talipapa,1,1,,,,0.0,0.0,0.0,0.0,Unidentified
233,Aug-2016,Quezon City,QCPD,PS 05 Fairview,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unidentified
234,Aug-2016,Quezon City,QCPD,PS 12 Libis,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unidentified
235,Aug-2016,Quezon City,QCPD,PS 04 Novaliches,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unidentified
236,Aug-2016,Quezon City,QCPD,PS 04 Novaliches,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unidentified
237,Aug-2016,Quezon City,QCPD,PS 06 Batasan,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unidentified
238,Sep-2016,Quezon City,QCPD,PS 06 Batasan,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unidentified
239,Sep-2016,Quezon City,QCPD,PS 12 Libis,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unidentified
240,Sep-2016,Quezon City,QCPD,PS 04 Novaliches,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unidentified
241,Oct-2016,Quezon City,QCPD,PS 03 Talipapa,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unidentified
242,Nov-2016,Quezon City,QCPD,PS 09 Quirino,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unidentified
245,Nov-2016,Quezon City,QCPD,PS 06 Batasan,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unidentified
246,Nov-2016,Quezon City,QCPD,PS 03 Talipapa,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unidentified
247,Dec-2016,Quezon City,QCPD,PS 06 Batasan,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unidentified
248,Dec-2016,Quezon City,QCPD,PS 05 Fairview,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unidentified
249,Dec-2016,Quezon City,QCPD,PS 04 Novaliches,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unidentified
